CityCode,CountryCode,Name,UtcOffset,TimeZoneId,Airports
BAG,PH,,,,
BAH,BH,,,,{'AirportCode': 'BAH'}
BAI,CR,,,,
BAJ,PG,,,,
BAK,AZ,,,,{'AirportCode': 'GYD'}
BAL,TR,,,,{'AirportCode': 'BAL'}
BAM,US,,,,
BAN,ZR,,,,
BAO,TH,,,,
BAP,PG,,,,
BAQ,CO,,,,{'AirportCode': 'BAQ'}
BAR,US,,,,
BAS,SB,,,,
BAT,BR,,,,
BAU,BR,,,,
BAV,CN,,,,{'AirportCode': 'BAV'}
BAW,GA,,,,
BAX,RU,,,,
BAY,RO,,,,
BAZ,BR,,,,
BBA,CL,,,,{'AirportCode': 'BBA'}
BBB,US,,,,
BBC,US,,,,
BBD,US,,,,
BBE,AU,,,,
BBF,US,,,,
BBG,KI,,,,
BBH,DE,,,,
BBI,IN,,,,{'AirportCode': 'BBI'}
BBJ,DE,,,,
BBK,BW,,,,{'AirportCode': 'BBK'}
BBL,IR,,,,
BBM,KH,,,,
BBN,MY,,,,
BBO,SO,,,,{'AirportCode': 'BBO'}
BBP,GB,,,,
BBQ,AG,,,,
BBR,GP,,,,
BBS,GB,,,,
BBT,CF,,,,
BBV,CI,,,,
BBW,US,,,,
BBX,US,,,,
BBY,CF,,,,
BBZ,ZM,,,,
BCA,CU,,,,
BCB,US,,,,
BCC,US,,,,
BCD,PH,,,,
BCE,US,,,,
BCF,CF,,,,
BCG,GY,,,,
BCH,ID,,,,
BCI,AU,,,,
BCJ,US,,,,
BCK,AU,,,,
BCL,CR,,,,
BCM,RO,,,,
BCN,ES,,,,{'AirportCode': 'BCN'}
BCO,ET,,,,{'AirportCode': 'BCO'}
BCP,PG,,,,
BCQ,LY,,,,
BCR,BR,,,,
BCS,US,,,,
BCT,US,,,,
BCU,NG,,,,
BCX,RU,,,,
BCY,ET,,,,
BCZ,AU,,,,
BDA,BM,,,,{'AirportCode': 'BDA'}
BDB,AU,,,,
BDC,BR,,,,
BDD,AU,,,,
BDE,US,,,,
BDF,US,,,,
BDG,US,,,,
BDH,IR,,,,
BDI,SC,,,,
BDJ,ID,,,,
BDK,CI,,,,
BDM,TR,,,,
BDN,PK,,,,
BDO,ID,,,,{'AirportCode': 'BDO'}
BDP,NP,,,,
BDQ,IN,,,,{'AirportCode': 'BDQ'}
BDR,US,,,,
BDS,IT,,,,{'AirportCode': 'BDS'}
BDT,ZR,,,,
BDU,NO,,,,
BDV,ZR,,,,
BDW,AU,,,,
BDX,US,,,,
BDY,US,,,,
BDZ,PG,,,,
BEA,PG,,,,
BEB,GB,,,,
BED,US,,,,
BEE,AU,,,,
BEF,NI,,,,
BEG,RS,,,,{'AirportCode': 'BEG'}
BEH,US,,,,
BEI,ET,,,,
BEJ,ID,,,,
BEK,IN,,,,
BEL,BR,,,,{'AirportCode': 'BEL'}
BEM,CF,,,,
BEN,LY,,,,
BEP,IN,,,,
BER,DE,,,,"{'AirportCode': ['SXF', 'BER', 'TXL']}"
BES,FR,,,,
BET,US,,,,{'AirportCode': 'BET'}
BEU,AU,,,,
BEV,IL,,,,
BEW,MZ,,,,{'AirportCode': 'BEW'}
BEX,GB,,,,
BEY,LB,,,,{'AirportCode': 'BEY'}
BEZ,KI,,,,
BFB,US,,,,
BFC,AU,,,,
BFD,US,,,,
BFE,DE,,,,
BFF,US,,,,{'AirportCode': 'BFF'}
BFG,US,,,,
BFJ,FJ,,,,
BFL,US,,,,{'AirportCode': 'BFL'}
BFN,ZA,,,,{'AirportCode': 'BFN'}
BFO,ZW,,,,
BFP,US,,,,
BFR,US,,,,
BFS,GB,,,,{'AirportCode': 'BHD'}
BFT,US,,,,
BFU,CN,,,,
BFX,CM,,,,
BGA,CO,,,,{'AirportCode': 'BGA'}
BGB,GA,,,,
BGC,PT,,,,
BGD,US,,,,
BGE,US,,,,
BGF,CF,,,,{'AirportCode': 'BGF'}
BGG,CI,,,,{'AirportCode': 'BGG'}
BGH,MR,,,,
BGI,BB,,,,{'AirportCode': 'BGI'}
BGJ,IS,,,,
BGK,BZ,,,,
BGL,NP,,,,
BGM,US,,,,
BGN,DE,,,,
BGO,NO,,,,{'AirportCode': 'BGO'}
BGP,GA,,,,
BGQ,US,,,,
BGR,US,,,,{'AirportCode': 'BGR'}
BGT,US,,,,
BGU,CF,,,,
BGV,BR,,,,
BGW,IQ,,,,{'AirportCode': 'BGW'}
BGX,BR,,,,
BGZ,PT,,,,
BHA,EC,,,,
BHB,US,,,,
BHE,NZ,,,,{'AirportCode': 'BHE'}
BHF,CO,,,,
BHG,HN,,,,
BHH,SA,,,,
BHI,AR,,,,{'AirportCode': 'BHI'}
BHJ,IN,,,,
BHK,UZ,,,,
BHL,MX,,,,
BHM,US,,,,{'AirportCode': 'BHM'}
BHN,YE,,,,
BHO,IN,,,,{'AirportCode': 'BHO'}
BHP,NP,,,,
BHQ,AU,,,,
BHR,NP,,,,
BHS,AU,,,,
BHT,AU,,,,
BHU,IN,,,,
BHV,PK,,,,
BHX,GB,,,,{'AirportCode': 'BHX'}
BHY,CN,,,,{'AirportCode': 'BHY'}
BHZ,BR,,,,{'AirportCode': 'CNF'}
BIA,FR,,,,{'AirportCode': 'BIA'}
BIB,SO,,,,
BIC,US,,,,
BID,US,,,,
BIE,US,,,,
BIG,US,,,,
BIH,US,,,,
BII,MH,,,,
BIJ,PG,,,,
BIK,ID,,,,
BIL,US,,,,{'AirportCode': 'BIL'}
BIM,BS,,,,
BIN,AF,,,,
BIO,ES,,,,{'AirportCode': 'BIO'}
BIP,AU,,,,
BIQ,FR,,,,{'AirportCode': 'BIQ'}
BIR,NP,,,,
BIS,US,,,,{'AirportCode': 'BIS'}
BIT,NP,,,,
BIU,IS,,,,
BIV,CF,,,,
BIW,AU,,,,
BIX,US,,,,
BIY,ZA,,,,
BIZ,PG,,,,
BJA,DZ,,,,
BJC,US,,,,
BJD,IS,,,,
BJF,NO,,,,
BJG,ID,,,,
BJH,NP,,,,
BJI,US,,,,
BJJ,US,,,,
BJK,ID,,,,
BJL,GM,,,,{'AirportCode': 'BJL'}
BJM,BI,,,,{'AirportCode': 'BJM'}
BJN,MZ,,,,
