AirlineID,Name
E5,AirArabiaEgypt
E6,Aviaexpresscruise
E7,EuropeanAviationAirCharter
E8,USAfricaAirways
E9,CompagnieAfricained\\'Aviation
EA,EuropeanAirExpress
EC,AvialeasingAviationCompany
ED,Airblue
EE,AeroAirlines
EF,FarEasternAirTransport
EG,JapanAsiaAirways
EH,EuroHarmony
EI,AerLingus
EJ,NewEnglandAirlines
EK,Emirates
EL,AirNippon
EM,EmpireAirlines
EN,AirDolomiti
EO,HewaBoraAirways
EP,IranAsemanAirlines
EQ,TAME
ER,FlyEuropa
ES,EuropeSky
ET,EthiopianAirlines
EU,EmpresaEcuatorianaDeAviacion
EV,AtlanticSoutheastAirlines
EW,Eurowings
EX,AirSantoDomingo
EY,EtihadAirways
EZ,SunAirofScandinavia
F1,FlyBrasil
F2,FlyAir
F3,FasoAirways
F4,AlbarkaAir
F5,GlobalFreightways
F6,Faroejet
F7,Flybaboo
F8,Air2there
F9,FrontierAirlines
FA,EpicHoliday
FB,BulgariaAir
FC,FinncommAirlines
FD,ThaiAirAsia
FE,PrimarisAirlines
FF,TowerAir
FG,ArianaAfghanAirlines
FH,FlyHighAirlinesIreland(FH)
FI,Icelandair
FJ,AirPacific
FK,AfricaWest
FL,AirTranAirways
FM,ShanghaiAirlines
FN,RegionalAirlines
FO,AirlinesOfTasmania
FP,FreedomAir
FQ,ThomasCookAirlines
FR,Ryanair
FS,ServiciosdeTransportesA
FT,SiemReapAirways
FU,FelixAirways
FV,Rossiya-RussianAirlines
FW,IbexAirlines
FX,FederalExpress
FY,NorthwestRegionalAirlines
FZ,FlyDubai
G0,GhanaInternationalAirlines
G1,IndyaAirlineGroup
G2,Avirex
G3,SkyExpress
G4,AllegiantAir
G5,Huaxia
G6,AirVolga
G7,GoJetAirlines
G8,GujaratAirways
G9,AirArabia
GA,GarudaIndonesia
GB,BRAZILAIR
GC,LinaCongo
GD,GoDutch
GE,TransAsiaAirways
GF,GulfAirBahrain
GG,Cargo360
GH,Globus
GI,ItekAir
GJ,EuroflyService
GK,Genesis
GL,MiamiAirInternational
GM,GermanInternationalAirLines
GN,GNBLinhasAereas
GO,KuzuAirlinesCargo
GP,GadairEuropeanAirlines
GQ,BigSkyAirlines
GR,GeminiAirCargo
GS,GrantAviation
GT,GBAirways
GU,Gulisanoairways
GV,AeroFlight
GW,KubanAirlines
GX,Pacificair
GY,GabonAirlines
GZ,AirRarotonga
H1,HankookAirUS
H2,SkyAirline
H3,HarbourAir(Priv)
H4,InterIslandsAirlines
H5,I-Fly
H6,HagelandAviationServices
H7,EagleAir
H8,Dalavia
H9,PEGASUSAIRLINES-
HA,HawaiianAirlines
HB,HarborAirlines
HC,HimalayanAirlines
HD,HokkaidoInternationalAirlines
HE,LuftfahrtgesellschaftWalter
HF,Hapagfly
HG,Niki
HH,AirHamburg(AHO)
HI,PapillonGrandCanyonHelicopters
HJ,AsianExpressAirlines
HK,YangonAirways
HM,AirSeychelles
HN,HankookAirline
HO,JuneyaoAirlines
HP,PhoenixAirways
HQ,HQ-BusinessExpress
HR,HahnAir
HT,HellenicImperialAirways
HU,HainanAirlines
HV,TransaviaHolland
HW,North-WrightAirways
HX,HongKongAirlines
HY,UzbekistanAirways
HZ,SatAirlines
I2,IberiaExpress
I4,InterstateAirline
I5,IndonesiaSky
I6,MexicanaLink
I7,ParamountAirways
I8,IzAvia
I9,Indigo
IA,IraqiAirways
IB,IberiaAirlines
IC,IndianAirlines
ID,InterlinkAirlines
IE,SolomonAirlines
IF,IslasAirways
IG,Meridiana
IH,FalconAir(IH)
II,LSMInternational
IJ,T.A.T
IK,Lankair
IL,FlyIlli
IM,Menajet
IN,MATMacedonianAirlines
IO,IndonesianAirlines
IP,IslandSpirit
IQ,AugsburgAirways
IR,IranAir
IS,IslandAirlines
IT,KingfisherAirlines
IV,WindJet
IW,WingsAir
IX,AirIndiaExpress
IY,Yemenia
IZ,ArkiaIsraelAirlines
J2,AzerbaijanAirlines
J3,NorthwesternAir
J4,ALAK
J5,AlaskaSeaplaneService
J6,AVCOM
J7,DenimAir
J8,BerjayaAir
J9,JazeeraAirways
JA,B&HAirlines
JB,Helijet
JC,JALExpress
JD,JapanAirSystem
JE,Mango
JF,L.A.B.FlyingService
JH,FujiDreamAirlines
JI,MidwayAirlines
JJ,TAMBrazilianAirlines
JK,Spanair
JL,JapanAirlinesDomestic
JM,AirJamaica
JN,ExcelAirways
JO,JALways
JP,AdriaAirways
JQ,JetstarAirways
JR,JoyAir
JS,AirKoryo
JT,LionMentariAirlines
JU,JatAirways
JV,BearskinLakeAirService
JW,ArrowAir
JX,Jusurairways
JY,Aereonauticamilitare
JZ,SkywaysExpress
K1,Kostromskieavialinii
K2,Eurolot
K4,KalittaAir
K5,SeaPortAirlines
K6,CambodiaAngkorAir(K6)
K7,KoralBlueAirlines
K8,ZambiaSkyways
K9,KryloAirlines
KA,Dragonair
KB,DrukAir
KC,AirAstana
KD,KDAvia
KE,KoreanAir
KF,Blue1
KG,RoyalAirways
KH,KharkivAirlines
KI,AdamAir
KJ,BritishMediterraneanAirways
KK,Atlasjet
KL,KLMRoyalDutchAirlines
KM,AirMalta
KN,ChinaUnited
KO,AlaskaCentralExpress
KP,AirCape
KQ,KenyaAirways
KR,ComoresAirlines
KS,PeninsulaAirways
KT,VickJet
KU,KuwaitAirways
KV,Kavminvodyavia
KW,CarnivalAirLines
KX,CaymanAirways
KY,KSY
KZ,NipponCargoAirlines
L1,AllArgentina
L2,LyndenAirCargo
L3,LTUAustria
L4,LuchshAirlines
L5,Lufttransport
L6,MauritaniaAirlinesInternational
L7,LuganskAirlines
L8,LineBlue
L9,AllAsia
LA,LANAirlines
LB,AirCosta
LC,VarigLog
LD,LineaTuristicaAerotuy
LF,FlyNordic
LG,Luxair
LH,Lufthansa
LI,LeewardIslandsAirTransport
LJ,JinAir
LK,AirLuxor
LL,Allegro
LM,Livingston
LN,LibyanArabAirlines
LO,LOTPolishAirlines
LP,LANPeru
LQ,LCMAIRLINES
LR,LACSA
LS,Jet2.com
LT,LTUInternational
LU,LANExpress
LV,AlbanianAirlines
LW,PacificWings
LX,SwissInternationalAirLines
LY,ElAlIsraelAirlines
LZ,BalkanBulgarianAirlines
M0,AeroMongolia
M1,MarylandAir
M2,MHSAviationGmbH
M3,NorthFlying
M4,MarysyaAirlines
M5,KenmoreAir
M6,AmerijetInternational
M7,TropicalAirways
M8,TransMaldivianAirways
M9,MotorSich
MA,Malév
MB,MNGAirlines
MC,AirMobilityCommand
MD,AirMadagascar
ME,MiddleEastAirlines
MF,XiamenAirlines
MG,ChampionAir
MH,MalaysiaAirlines
MI,SilkAir
MJ,L
MK,AirMauritius
ML,MaldivoAirlines
MM,PeachAviation
MN,Comair
MO,CalmAir
MP,Martinair
MQ,AmericanEagleAirlines
MR,HomerAir
MS,Egyptair
MT,ThomasCookAirlines
MU,ChinaEasternAirlines
MV,ArmenianInternationalAirways
MW,MayaIslandAir
MX,MexicanadeAviaci
MY,MidwestAirlines(Egypt)
MZ,MerpatiNusantaraAirlines
N0,NorteLineasAereas
N1,N1
N2,KaboAir
N3,OmskaviaAirline
N4,RegionaliaMéxico
N5,SkagwayAirService
N6,Aerocontinente(Priv)
N7,AllSpain
N8,NationalAirCargo
N9,AllEurope
NA,Al-NaserAirlines
NB,SterlingAirlines
NC,NorthernAirCargo
NE,SkyEurope
NF,AirVanuatu
NG,LaudaAir
NH,AllNipponAirways
NI,Portugalia
NJ,NordicGlobalAirlines
NK,SpiritAirlines
NL,ShaheenAirInternational
NM,MountCookAirlines
NN,VIMAirlines
NO,NorthPacificAirlines
NP,NileAir
NQ,AirJapan
NR,JettorAirlines
NS,CaucasusAirlines
NT,BinterCanarias
NU,JapanTransoceanAir
NV,AirCentral
NW,NorthwestAirlines
NX,AirMacau
NY,AirIceland
NZ,AirNewZealand
O1,OrbitAirlinesAzerbaijan
O2,OceanicAirlines
O6,Oceanair
O7,OzjetAirlines
O8,OasisHongKongAirlines
OA,OlympicAirlines
OB,AstrakhanAirlines
OC,Catovair
OD,MalindoAir
OE,WestAirAirlines
OF,TransportsetTravauxA
OG,AirOnix
OH,Comair
OI,OrchidAirlines
OJ,OverlandAirways
OK,CzechAirlines
OL,OstfriesischeLufttransport
OM,MIATMongolianAirlines
ON,OurAirline
OO,SkyWest
OP,Chalk'sOceanAirways
OQ,ChongqingAirlines
OR,Arkefly
OS,AustrianAirlines
OT,AeropelicanAirServices
OU,CroatiaAirlines
OV,EstonianAir
OW,ExecutiveAirlines
OX,OrientThaiAirlines
OY,OmniAirInternational
OZ,OzarkAirLines
P0,ProflightCommuterServices
P4,PatriotAirways
P5,AeroRep
P7,RegionalParaguaya
P8,AirMekong
P9,PeruvianAirlines
PA,ParmissAirlines(IPV)
PC,PegasusAirlines
PD,PorterAirlines
PE,AirEurope
PF,PrimeraAir
PG,BangkokAirways
PH,PolynesianAirlines
PI,SunAir(Fiji)
PJ,AirSaintPierre
PK,PakistanInternationalAirlines
PL,Airstars
PM,TropicAir
PN,WestAirChina
PO,FlyPortugal
PP,AirIndus
PQ,LSMAirlines
PR,PhilippineAirlines
PS,UkraineInternationalAirlines
PT,RedJetAndes
PU,PLUNA
PV,PANAir
PW,PrecisionAir
PX,AirNiugini
PY,SurinamAirways
PZ,TAMMercosur
Q2,Maldivian
Q3,SOCHIAIRCHATER
Q4,MastertopLinhasAereas
Q5,40-MileAir
Q6,AeroCondorPeru
Q8,PacificEastAsiaCargoAirlines
Q9,ArikNiger
QA,Click(Mexicana)
QB,GeorgianNationalAirlines
QC,Camair-co
QD,Dobrolet
QE,CrossairEurope
QF,Qantas
QG,CitilinkIndonesia
QH,Kyrgyzstan
QI,CimberAir
QJ,JetAirways
QK,AirCanadaJazz
QL,AeroLanka
QM,AirMalawi
QN,AirArmenia
QO,OriginPacificAirways
QQ,RenoAir
QR,QatarAirways
QS,TravelService
QT,TAMPA
QU,EastAfrican
QV,LaoAirlines
QW,BlueWings
QX,HorizonAir
QY,RedJetCanada
QZ,IndonesiaAirAsia
R0,RoyalAirlines
R1,RoyalSouthernAirlines.
R2,OrenburgAirlines
R3,AircompanyYakutia
R4,Rossiya
R5,MaltaAirCharter
R6,RACSA
R7,AsercaAirlines
R8,AirRussia
R9,CamaiAir
RA,RoyalNepalAirlines
RB,SyrianArabAirlines
RC,AtlanticAirways
RD,RyanInternationalAirlines
RE,AerArann
RF,FloridaWestInternationalAirways
RG,VRGLinhasAereas
RH,RepublicExpressAirlines
RI,MandalaAirlines
RJ,RoyalJordanian
RK,RoyalKhmerAirlines
RL,RoyalFalcon
RM,RainbowAirUS
RN,RainbowAir(RAI)
RO,Tarom
RP,ChautauquaAirlines
RQ,KamAir
RR,RedJetAmerica
RS,SkyRegional
RU,RainbowAirEuro
RV,CaspianAirlines
RW,RepublicAirlines
RX,RainbowAirPolynesia
RY,RainbowAirCanada
RZ,EuroExecExpress
S0,SpikeAirlines
S1,SerbianAirlines
S2,AirSahara
S3,SantaBarbaraAirlines
S4,SATAInternational
S5,TrastAero
S6,SalmonAir
S7,S7Airlines
S8,SnowbirdAirlines
S9,StarbowAirlines
SA,SouthAfricanAirways
SB,AirCaledonieInternational
SC,ShandongAirlines
SD,SudanAirways
SE,XLAirwaysFrance
SF,AirCharterInternational
SG,Spicejet
SH,SharpAirlines
SI,SkynetAirlines
SJ,SriwijayaAir
SK,ScandinavianAirlinesSystem
SL,ThaiLionAir
SM,SpiritofManilaAirlines
SN,BrusselsAirlines
SO,Salsad\\'Haiti
SP,SATAAirAcores
SQ,SingaporeAirlines
SR,Swissair
SS,Corsairfly
ST,Germania
SU,AeroflotRussianAirlines
SV,SaudiArabianAirlines
SW,AirNamibia
SX,SkyWorkAirlines
SY,SunCountryAirlines
SZ,Salzburgarrows
T0,TACAPeru
T1,TROPICALLINHASAEREAS
T2,ThaiAirCargo
T3,EasternAirways
T4,HellasJet
T5,TurkmenistanAirlines
T6,TransPasAir
T7,TwinJet
T8,TAN
T9,ThaiStarAirlines
TA,GrupoTACA
TB,TrasBrasil
TC,AirTanzania
TD,TulipAir
TE,FlyLal
TF,MalmöAviation
TG,ThaiAirwaysInternational
TH,TransBrasilAirlines
TI,TransHolding
TJ,T.J.Air
TK,TurkishAirlines
TL,TransMediterraneanAirlines
TM,AirMozambique
TN,AirTahitiNui
TO,TransaviaFrance
TP,TAPPortugal
TQ,TexasWings
TR,TigerAirways
TS,AirTransat
TT,TigerAirwaysAustralia
TU,Tunisair
TV,VirginExpress
TW,TwayAirlines
TX,AirCaraïbes
TY,Iberworld
TZ,Scoot
U1,Aviabus
U2,UnitedFeederService
U3,Avies
U4,PMTair
U5,USA3000Airlines
U6,UralAirlines
U7,USAJetAirlines
U8,Armavia
U9,TatarstanAirlines
UA,UnitedAirlines
UB,MyanmaAirways
UD,Hex'Air
UE,TranseuropeanAirlines
UF,UMAirlines
UG,Tuninter
UH,USHelicopterCorporation
UI,EurocypriaAirlines
UJ,AlMasriaUniversalAirlines
UK,TataSiaAirlines
UL,SriLankanAirlines
UM,AirZimbabwe
UN,TransaeroAirlines
UO,HongKongExpressAirways
UP,Bahamasair
UQ,SkyjetAirlines
UR,UTair-Express
US,USAirways
UT,UTairAviation
UU,AirAustral
UX,AirEuropa
UY,CameroonAirlines
UZ,El-BuraqAirTransport
V0,Conviasa
V2,VisionAirlines(V2)
V3,Carpatair
V4,ReemAir
V5,DanubeWings(V5)
V6,VIPEcuador
V7,AirSenegalInternational
V8,ATRANCargoAirlines
V9,Star1Airlines
VA,VirginAustralia
VB,PacificExpress
VC,StrategicAirlines
VD,SwedJetAirways
VE,VolareAirlines
VF,Valuair
VG,VLMAirlines
VH,VirginPacific
VI,Volga-DneprAirlines
VJ,RoyalAirCambodge
VK,VirginNigeriaAirways
VL,AirVIA
VM,ViaggioAir
VN,VietnamAirlines
VO,TyroleanAirways
VP,VASP
VQ,VikingHellas
VR,TACV
VS,VirginAtlanticAirways
VT,AirTahiti
VU,AirIvoire
VV,AerosvitAirlines
VW,Aeromar
VX,VirginAmerica
VY,VuelingAirlines
VZ,MyTravelAirways
W1,WorldExperienceAirline
W2,MaastrichtAirlines
W3,ArikAir
W4,AeroWorld
W5,MahanAir
W6,WizzAir
W7,AustralBrasil
W8,CargojetAirways
W9,EastwindAirlines
WA,WesternAirlines
WB,RwandairExpress
WC,IslenaDeInversiones
WD,AmsterdamAirlines
WE,CenturionAirCargo
WF,Widerøe
WG,Sunwing
WH,ChinaNorthwestAirlines(WH)
WJ,WebJetLinhasA
WK,EdelweissAir
WL,CheapFlyingInternational
WM,WindwardIslandsAirways
WN,SouthwestAirlines
WO,WorldAirways
WP,IslandAir(WP)
WQ,PanAmWorldAirways
WR,RoyalTonganAirlines
WS,WestJet
WU,WizzAirUkraine
WV,SweFly
WW,bmibaby
WX,CityJet
WY,OmanAir
WZ,RedWings
X1,NikAirways
X3,TUIfly
X7,Chitaavia
XA,XAIRUSA
XB,NEXTBrasil
XE,ExpressJet
XF,VladivostokAir
XG,CalimaAviacion
XJ,MesabaAirlines
XK,Corse-Mediterranee
XL,Aerolane
XM,AlitaliaExpress
XN,Xpressair
XO,LTEInternationalAirways
XP,XPTO
XQ,SunExpress
XR,SkywestAustralia
XS,TexasSpirit
XT,AirExel
XV,BVIAirways
XW,SkyExpress
XX,Greenfly
XY,NasAir
XZ,CongoExpress
Y0,YellowAirTaxi
Y1,YellowstoneClubPrivateShuttle
Y4,Volaris
Y5,AsiaWings
Y7,NordStarAirlines
Y8,MarusyaAirways
Y9,KishAir
YC,CielCanadien
YD,Gomelavia
YE,Yellowtail
YH,YangonAirwaysLtd.
YI,TURAvrupaHavaYollarÄ±
YK,CyprusTurkishAirlines
YL,YamalAirlines
YM,MontenegroAirlines
YO,TransHoldingSystem
YP,AeroLloyd(YP)
YQ,PoletAirlines(Priv)
YR,SENICAIRLINES
YS,Régional
YT,YetiAirways
YV,MesaAirlines
YW,AirNostrum
YX,MidwestAirlines
YY,Virginwings
YZ,LSMAIRLINES
Z2,ZestAir
Z3,AvientAviation
Z4,ZoomAirlines
Z6,ZABAIKALAIRLINES
Z7,REDjet
Z8,Amaszonas
Z9,FlightlinkTanzania
ZA,InteraviaAirlines
ZB,MonarchAirlines
ZC,KorongoAirlines
ZE,EastarJet
ZF,AthensAirways
ZG,VivaMacau
ZH,ShenzhenAirlines
ZI,AigleAzur
ZJ,ZambeziAirlines(ZMA)
ZK,GreatLakesAirlines
ZL,RegionalExpress
ZM,ApacheAir
ZN,ZenithInternationalAirline
ZP,ZabaykalskiiAirlines
ZQ,Locair
ZS,SamaAirlines
ZT,TitanAirways
ZU,HeliosAirways
ZV,AirMidwest
ZW,AirWisconsin
ZX,JapanRegio
ZY,AdaAir
ZZ,Zz
\N,Avilu
МИ,KMV
ЯП,PolarAirlines
