AirportCode
EGE
EGO
EJA
ELM
ELP
ELS
EMA
ENU
ERC
ERI
ERZ
ESB
EUG
EVE
EVN
EVV
EWN
EWR
EYW
EZE
EZS
FAE
FAI
FAO
FAR
FAT
FAY
FBM
FCA
FCO
FDH
FEZ
FIH
FKB
FKS
FLG
FLL
FLN
FLO
FLR
FMM
FMN
FMO
FMY
FNA
FNC
FNJ
FNT
FOC
FOE
FOR
FRA
FRS
FRU
FRW
FSC
FSD
FSZ
FTE
FUE
FUJ
FUK
FWA
FYV
GAU
GAY
GBE
GCC
GCI
GCK
GCM
GDE
GDL
GDN
GDQ
GEG
GEO
GIG
GIS
GJT
GLA
GMB
GMP
GND
GNV
GNY
GOA
GOB
GOI
GOJ
GOM
GOT
GPA
GPS
GPT
GRB
GRI
GRJ
GRO
GRQ
GRR
GRU
GRZ
GSO
GSP
GTF
GUA
GUC
GUM
GUW
GVA
GWL
GWT
GYD
GYE
GYN
GZP
GZT
HAC
HAH
HAJ
HAK
HAM
HAN
HAR
HAU
HAV
HBA
HBE
HDB
HDF
HDN
HDS
HDY
HEL
HER
HET
HFE
HGA
HGH
HHH
HIJ
HIL
HIN
HKD
HKG
HKT
HLD
HLH
HLN
HMO
HND
HNL
HOG
HOV
HPN
HRB
HRE
HRG
HRK
HRL
HSG
HSV
HTS
HTY
HUE
HUX
HYD
HYN
HYS
IAD
IAH
IAS
IBZ
ICN
ICT
IDA
IDR
IEG
IEV
IFN
IGD
IGR
IGU
IKA
ILE
ILM
IMF
INC
IND
INI
INN
IOA
IOS
IPL
IQQ
ISB
ISE
ISG
ISL
ISN
IST
ISU
ITH
ITM
ITO
IVC
IVL
IWJ
IWK
IXA
IXB
IXC
IXD
IXE
IXJ
IXL
IXM
IXR
IXS
IXU
IXZ
JAC
JAI
JAN
JAX
JDH
JDZ
JED
JER
JFK
JGA
JHB
JHM
JIB
JIJ
JIM
JJN
JKG
JKH
JLR
JMK
JMS
JMU
JNB
JOI
JOK
JPA
JRH
JRO
JSH
JSI
JTR
JUB
JUJ
JUL
JUZ
KAN
KAO
KBL
KBP
KBR
KBV
KCH
KCM
KCZ
KEF
KFS
KGD
KGL
KGS
KHE
KHG
KHH
KHI
KHN
KHV
KIJ
KIM
KIN
KIV
KIX
KJA
KJR
KKC
KKE
KKJ
KKN
KLO
KLR
KLT
KLU
KLX
KMG
KMI
KMJ
KMQ
KNC
KNO
KNU
KOA
KOJ
KOW
KPO
KRK
KRL
KRN
KRR
KRS
KRT
KRY
KSA
KSC
KSD
KSU
KSY
KTM
KTN
KTT
KTW
KUA
KUF
KUH
KUL
KUN
KUO
KVA
KVX
KWA
KWE
KWI
KWJ
KWL
KWQ
KYA
KZN
LAD
LAN
LAP
LAR
LAS
LAX
LBB
LBF
LBL
LBU
LBV
LCA
LCH
LCJ
LCY
LDB
LDE
LED
LEI
LEJ
LET
LEX
LFQ
LFT
LFW
LGA
LGB
LGG
LGK
LGW
LHE
LHR
LHW
LIH
LIM
LIN
LIR
LIS
LIT
LJG
LJU
LKO
LLA
LLI
LLW
LMP
LNK
LNY
LNZ
LOS
LPA
LPB
LPI
LPQ
LPT
LRD
LRM
LSC
LSP
LST
LTN
LUG
LUN
LUX
LUZ
LVI
LWB
LWO
LWS
LXA
LXR
LYH
LYI
LYR
LYS
LZH
LZS
LZY
MAA
MAD
MAF
MAH
MAJ
MAN
MAO
MAR
MBA
MBE
MBJ
MBS
MCI
MCK
MCO
MCT
MCZ
MDC
MDE
MDL
MDT
MDZ
MED
MEL
MEM
MES
MEX
MFE
MFM
MFR
MGA
MGF
MGM
MGQ
MGW
MHD
MHJ
MHT
MIA
MID
MIG
MIR
MJM
MJT
MKC
MKE
MKG
MKK
MLA
MLB
MLE
MLH
MLI
MLM
MLU
MLX
MMB
MMH
MMK
MMX
MMY
MNL
MOB
MOD
MOL
MOT
MPL
MPM
MQM
MQP
MQX
MRD
MRS
MRU
MRV
MRY
MSN
MSO
MSP
MSQ
MSU
MSY
MTJ
MTR
MTS
MTY
MUB
MUC
MUN
MVD
MWH
MWX
MXP
MYE
MYJ
MYR
MYY
MZH
MZL
MZR
MZT
NAG
NAN
NAP
NAS
NAT
NAV
NBC
NBE
NBO
NCE
NCL
NDG
NDJ
NDR
NGB
NGO
NGS
NIM
NKC
NKG
NLA
NLK
NLP
NNG
NNM
NOC
NOS
NOU
NPE
NQN
NQY
NRK
NRN
NRT
NSI
NSN
NST
NTE
NTG
NTQ
NUE
NVA
NVT
OAJ
OAK
OAX
OBO
ODS
OER
OGG
OGU
OGZ
OIM
OIT
OKA
OKC
OKJ
OLB
OMA
OME
OMO
ONJ
ONT
OOL
OPO
ORB
ORD
ORF
ORK
ORY
OSD
OSI
OSL
OTH
OTP
OTZ
OUA
OUL
OXB
OXR
OZH
PAD
PAH
PAP
PAS
PAT
PBC
PBG
PBI
PDL
PDP
PDX
PEE
PEG
PEI
PEK
PEM
PEN
PER
PEW
PFN
PFO
PGA
PGV
PHC
PHF
PHL
PHW
PHX
PIA
PIR
PIT
PKB
PKU
PLM
PLQ
PLS
PLZ
PMC
PMI
PMO
PMR
PMV
PNA
PNH
PNI
PNL
PNQ
PNR
PNS
PNZ
POA
POL
POP
POS
POZ
PPT
PRC
PRG
PRN
PSA
PSC
PSG
PSO
PSP
PSS
PTG
PTP
PTY
PUB
PUJ
PUQ
PUS
PUW
PUY
PVD
PVG
PVH
PVK
PVR
PWM
PXO
PZB
PZO
QDU
QKL
QKU
QRO
QUL
QWU
RAI
RAJ
RAK
RAO
RAP
RAR
RCB
RCH
RDD
RDM
RDU
REC
REG
REL
REP
RES
RGL
RGN
RHO
RIC
RIS
RIW
RIX
RJK
RKS
RLG
RMF
RMI
RNB
RNO
ROA
ROB
ROC
ROR
ROS
ROT
ROV
RPR
RST
RSU
RSW
RTB
RTM
RUH
RZE
SAC
SAF
SAH
SAL
SAN
SAP
SAT
SAV
SAW
SBA
SBN
SBP
SBW
SBY
SBZ
SCC
SCE
SCL
SCN
SCO
SCQ
SCW
SCY
SDA
SDF
SDJ
SDK
SDL
SDQ
SDU
SEA
SEN
SEZ
SFN
SFO
SFT
SGF
SGN
SGU
SHA
SHB
SHC
SHE
SHJ
SHL
SHR
SHV
SIA
SID
SIN
SIR
SIS
SIT
SJC
SJD
SJJ
SJO
SJP
SJU
SJW
SKB
SKG
SKP
SLA
SLC
SLP
SLW
SLZ
SMF
SMI
SMR
SMX
SNA
SNN
SNU
SOC
SOF
SPC
SPI
SPU
SRG
SRQ
SSA
SSG
SSH
STI
STL
STN
STR
STS
STT
STV
STW
SUB
SUF
SUN
SVG
SVO
SVQ
SVX
SVZ
SWA
SXB
SXF
SXM
SXR
SYD
SYO
SYR
SYX
SYZ
SZF
SZG
SZK
SZX
SZZ
TAB
TAE
TAK
TAM
TAO
TAS
TBS
TBU
TBZ
TCZ
TDX
TER
TET
TEZ
TFS
TGD
TGG
TGO
TGU
TGZ
THE
THS
TIA
TIJ
TIR
TIV
TKK
TKS
TKU
TLH
TLL
TLN
TLS
TLV
TMP
TMS
TNA
TNG
TNH
TNR
TOF
TOP
TOS
TOY
TPA
TPE
TRC
TRD
TRG
TRI
TRN
TRS
TRU
TRV
TRZ
TSA
TSE
TSJ
TSN
TSR
TTJ
TUC
TUL
TUN
TUO
TUS
TVC
TWU
TXG
TXL
TXN
TYN
TYR
TYS
TZX
UBJ
UBP
UDI
UDR
UFA
UIO
UKB
ULN
ULY
UME
UPG
URC
URT
USH
USK
USM
USN
UTH
UTN
UTT
UUS
UVF
VAA
VAN
VAR
VAS
VBY
VCE
VCP
VCT
VDA
VEL
VER
VFA
VGA
VGO
VIE
VIX
VKO
VLC
VLN
VNO
VNS
VNX
VOG
VOL
VOZ
VPS
VRA
VRN
VSA
VTE
VTZ
VVI
VVO
VXE
WAG
WAW
WDH
WDS
WEH
WKJ
WLG
WNZ
WRE
WRG
WRL
WRO
WUH
WUX
WVB
WXN
XAP
XER
XFN
XIC
XIL
XIY
XMN
XNA
XNN
XRY
XUZ
YAK
YAM
YAO
YAP
YBC
YBG
YBL
YCD
YCG
YCU
YDF
YEG
YFB
YFC
YGJ
YGK
YGP
YGR
YHM
YHZ
YIH
YIN
YIW
YKA
YKM
YLW
YMM
YNB
YNJ
YNT
YNZ
YOW
YPR
YQB
YQG
YQL
YQM
YQQ
YQR
YQT
YQU
YQX
YQY
YQZ
YSB
YSJ
YTS
YTY
YTZ
YUL
YUY
YVO
YVR
YWG
YWK
YWL
YXC
YXE
YXH
YXJ
YXS
YXT
YXU
YXX
YXY
YYB
YYC
YYD
YYF
YYG
YYJ
YYR
YYT
YYY
YYZ
YZF
YZP
YZR
YZV
ZAD
ZAG
ZAL
ZAQ
ZBF
ZCL
ZCO
ZDH
ZFV
ZHA
ZIH
ZLO
ZNZ
ZOS
ZQN
ZRH
ZSB
ZTH
ZUH
ZWS
ZYI
kzo
