AirportCode,DepartureAirportCode,ScheduledDepartureLocal,ScheduledDepartureUTC,ActualDepartureLocal,ActualDepartureUTC,DepartureTimeStatus,ArrivalAirportCode,ScheduledArrivalLocal,ScheduledArrivalUTC,ActualArrivalLocal,ActualArrivalUTC,ArrivalTimeStatus,MarketingAirlineID,MarketingFlightNumber,OperatingAirlineID,OperatingFlightNumber,AircraftCode,AircraftRegistration,FlightStatus,ServiceType
JFK,JFK,2024-06-15T01:40,2024-06-15T05:40Z,,,Flight On Time,HND,2024-06-16T04:45,2024-06-15T19:45Z,,,Flight On Time,JL,003,JL,003,77W,,No status,Passenger
JFK,JFK,2024-06-15T01:55,2024-06-15T05:55Z,,,Flight On Time,HKG,2024-06-16T05:35,2024-06-15T21:35Z,,,Flight On Time,CX,843,CX,843,359,,No status,Passenger
JFK,JFK,2024-06-15T02:00,2024-06-15T06:00Z,,,Flight On Time,GYE,2024-06-15T07:40,2024-06-15T12:40Z,,,Flight On Time,AV,7393,AV,7393,320,,No status,Passenger
JFK,JFK,2024-06-15T02:30,2024-06-15T06:30Z,,,Flight On Time,PEK,2024-06-16T07:15,2024-06-15T23:15Z,,,Flight On Time,CA,982,CA,982,747,,No status,Passenger
JFK,JFK,2024-06-15T02:55,2024-06-15T06:55Z,,,Flight On Time,SAL,2024-06-15T05:45,2024-06-15T11:45Z,,,Flight On Time,AV,567,AV,567,320,,No status,Passenger
JFK,JFK,2024-06-15T03:30,2024-06-15T07:30Z,,,Flight On Time,SAL,2024-06-15T06:20,2024-06-15T12:20Z,,,Flight On Time,AV,571,AV,571,320,,No status,Passenger
JFK,JFK,2024-06-15T04:00,2024-06-15T08:00Z,,,Flight On Time,GUA,2024-06-15T06:45,2024-06-15T12:45Z,,,Flight On Time,AV,653,AV,653,320,,No status,Passenger
KEF,KEF,2024-06-15T00:10,2024-06-15T00:10Z,2024-06-15T00:09,2024-06-15T00:09Z,Flight Early,VIE,2024-06-15T06:15,2024-06-15T04:15Z,2024-06-15T06:10,2024-06-15T04:10Z,Flight Early,OS,328,OS,328,32N,OELZR,Flight Landed,Passenger
KEF,KEF,2024-06-15T00:25,2024-06-15T00:25Z,2024-06-15T00:27,2024-06-15T00:27Z,Flight On Time,FRA,2024-06-15T05:55,2024-06-15T03:55Z,2024-06-15T05:52,2024-06-15T03:52Z,Flight Early,LH,869,LH,869,32N,DAIJD,Flight Landed,Passenger
KEF,KEF,2024-06-15T00:40,2024-06-15T00:40Z,2024-06-15T00:52,2024-06-15T00:52Z,Flight On Time,DUS,2024-06-15T06:05,2024-06-15T04:05Z,2024-06-15T06:06,2024-06-15T04:06Z,Flight On Time,EW,9281,EW,9281,223,YLABO,Flight Landed,Passenger
KHI,KHI,2024-06-15T03:00,2024-06-14T22:00Z,,,Flight On Time,JED,2024-06-15T05:05,2024-06-15T02:05Z,,,Flight On Time,SV,705,SV,705,777,,No status,Passenger
KUL,KUL,2024-06-15T02:15,2024-06-14T18:15Z,,,Flight On Time,JED,2024-06-15T06:05,2024-06-15T03:05Z,,,Flight On Time,SV,841,SV,841,787,,No status,Passenger
KWI,KWI,2024-06-15T01:45,2024-06-14T22:45Z,2024-06-15T01:35,2024-06-14T22:35Z,Flight Early,FRA,2024-06-15T07:10,2024-06-15T05:10Z,2024-06-15T06:42,2024-06-15T04:42Z,Flight Early,LH,625,LH,625,333,DAIKI,Flight Landed,Passenger
LCA,LCA,2024-06-15T02:15,2024-06-14T23:15Z,2024-06-15T01:59,2024-06-14T22:59Z,Flight Early,BEY,2024-06-15T02:55,2024-06-14T23:55Z,2024-06-15T02:40,2024-06-14T23:40Z,Flight Early,LH,1302,LH,1302,32M,DAIDB,Flight Landed,Passenger
LCA,LCA,2024-06-15T03:35,2024-06-15T00:35Z,2024-06-15T03:41,2024-06-15T00:41Z,Flight On Time,ZRH,2024-06-15T06:30,2024-06-15T04:30Z,2024-06-15T06:34,2024-06-15T04:34Z,Flight On Time,WK,369,WK,369,320,HBIJU,Flight Landed,Passenger
LHE,LHE,2024-06-15T02:50,2024-06-14T21:50Z,,,Flight On Time,JED,2024-06-15T06:00,2024-06-15T03:00Z,,,Flight On Time,SV,739,SV,739,773,,No status,Passenger
LIM,LIM,2024-06-15T00:05,2024-06-15T05:05Z,,,Flight On Time,JFK,2024-06-15T09:05,2024-06-15T13:05Z,,,Flight On Time,LA,2468,LA,2468,763,,No status,Passenger
