AirportCode,Latitude,Longitude,CityCode,CountryCode,LocationType,AirportName,UtcOffset,TimeZoneId
ELP,31.8025,-106.3983,ELP,US,Airport,"El Paso International, TX",-6.0,America/Denver
ELS,-33.0356,27.8258,ELS,ZA,Airport,East London,2.0,Africa/Johannesburg
EMA,52.8311,-1.3281,EMA,GB,Airport,East Midlands,1.0,Europe/London
ENU,6.4742,7.5619,ENU,NG,Airport,ENUGU AKANU IBIAM INTL,1.0,Africa/Lagos
ERC,39.7103,39.5269,ERC,TR,Airport,Erzincan,3.0,Europe/Istanbul
ERI,42.0819,-80.1761,ERI,US,Airport,Erie International,-4.0,America/New_York
ERZ,39.9564,41.1703,ERZ,TR,Airport,Erzurum,3.0,Europe/Istanbul
ESB,40.1281,32.995,ANK,TR,Airport,Ankara - Esenboga,3.0,Europe/Istanbul
EUG,44.1247,-123.2119,EUG,US,Airport,"Eugene, OR",-7.0,America/Los_Angeles
EVE,68.4914,16.6781,EVE,NO,Airport,"Harstad-Narvik, Evenes",2.0,Europe/Oslo
EVN,40.1472,44.3958,EVN,AM,Airport,Yerevan - Zvartnots IntÂ´l,4.0,Asia/Yerevan
EVV,38.0369,-87.5325,EVV,US,Airport,EVANSVILLE REGIONAL,-5.0,America/Chicago
EWN,35.0731,-77.0431,EWN,US,Airport,New Bern,-4.0,America/New_York
EWR,40.6925,-74.1686,NYC,US,Airport,"New York - Newark International, NJ",-4.0,America/New_York
EYW,24.5561,-81.7594,EYW,US,Airport,Key West International,-4.0,America/New_York
EZE,-34.8222,-58.5358,BUE,AR,Airport,Buenos Aires - Ministro Pistarini,-3.0,America/Argentina/Buenos_Aires
EZS,38.6069,39.2914,EZS,TR,Airport,Elazig,3.0,Europe/Istanbul
FAE,62.0664,-7.2931,FAE,FO,Airport,Faroe Islands,1.0,Atlantic/Faroe
FAI,64.815,-147.8564,FAI,US,Airport,FAIRBANKS INTERNATIONAL APT,-8.0,America/Anchorage
FAO,37.0144,-7.9658,FAO,PT,Airport,Faro,1.0,Europe/Lisbon
FAR,46.9206,-96.8158,FAR,US,Airport,"Fargo, ND",-5.0,America/Chicago
FAT,36.7761,-119.7181,FAT,US,Airport,"Fresno - Air Terminal, CA",-7.0,America/Los_Angeles
FAY,34.99,-78.8831,FAY,US,Airport,"Fayetteville, North Carolina - Municipal",-4.0,America/New_York
FBM,-11.5914,27.5308,FBM,CD,Airport,Lubumbashi,2.0,Africa/Lubumbashi
FCA,48.3106,-114.2561,FCA,US,Airport,Kalispell,-6.0,America/Denver
FCO,41.8003,12.2389,ROM,IT,Airport,Rome - Leonardo Da Vinci,2.0,Europe/Rome
FDH,47.6714,9.5114,FDH,DE,Airport,Friedrichshafen,2.0,Europe/Berlin
FEZ,33.9272,-4.9781,FEZ,MA,Airport,FES SAISS,1.0,Africa/Casablanca
FIH,-4.3858,15.4444,FIH,CD,Airport,Kinshasa N'Djili,1.0,Africa/Kinshasa
FKB,48.7794,8.0806,FKB,DE,Airport,Karlsruhe,2.0,Europe/Berlin
FKS,37.2275,140.4306,FKS,JP,Airport,Fukushima,9.0,Asia/Tokyo
FLG,35.1383,-111.6711,GCN,US,Airport,GRAND CANYON FLAGSTAFF PULLIAM,-7.0,America/Phoenix
FLL,26.0725,-80.1528,FLL,US,Airport,"Fort Lauderdale - International, FL",-4.0,America/New_York
FLN,-27.6706,-48.5472,FLN,BR,Airport,Florianopolis,-3.0,America/Sao_Paulo
FLO,34.1875,-79.7247,FLO,US,Airport,Florence,-4.0,America/New_York
FLR,43.8086,11.2028,FLR,IT,Airport,Florence - Amerigo Vespucci,2.0,Europe/Rome
FMM,47.9881,10.2375,FMM,DE,Airport,Memmingen,2.0,Europe/Berlin
FMN,36.7414,-108.2311,FMN,US,Airport,"Farmington, New Mexico - Municipal",-6.0,America/Denver
FMO,52.1347,7.6847,FMO,DE,Airport,Munster,2.0,Europe/Berlin
FMY,26.5833,-81.8667,FMY,US,Airport,Fort Myers - Page Field,-4.0,America/New_York
FNA,8.6164,-13.1956,FNA,SL,Airport,Freetown - Lungi International,0.0,Africa/Freetown
FNC,32.6942,-16.7781,FNC,PT,Airport,Funchal,1.0,Europe/Lisbon
FNJ,39.2236,125.67,FNJ,KP,Airport,PYONGYANG SUNAN INTL,9.0,Asia/Pyongyang
FNT,42.9656,-83.7436,FNT,US,Airport,Flint,-4.0,America/New_York
FOC,25.935,119.6633,FOC,CN,Airport,Fuzhou,8.0,Asia/Shanghai
FOE,38.9508,-95.6636,TOP,US,Airport,Topeka - Forbes AFB,-5.0,America/Chicago
FOR,-3.7764,-38.5325,FOR,BR,Airport,Fortaleza,-3.0,America/Belem
FRA,50.0331,8.5706,FRA,DE,Airport,Frankfurt/Main International,2.0,Europe/Berlin
FRS,16.9156,-89.8697,FRS,GT,Airport,Flores,-6.0,America/Guatemala
FRU,43.0614,74.4775,FRU,KG,Airport,BISHKEK MANAS INTERNATIONAL,6.0,Asia/Bishkek
FRW,-21.1597,27.4744,FRW,BW,Airport,Francistown,2.0,Africa/Gaborone
FSC,41.5022,9.0967,FSC,FR,Airport,Figari,2.0,Europe/Paris
FSD,43.5819,-96.7419,FSD,US,Airport,Sioux Falls,-5.0,America/Chicago
FSZ,34.7969,138.1808,FSZ,JP,Airport,Shizuoka,9.0,Asia/Tokyo
FTE,-50.28,-72.0533,FTE,AR,Airport,El Calafate,-3.0,America/Argentina/Buenos_Aires
FUE,28.4528,-13.8639,FUE,ES,Airport,Fuerteventura,1.0,Atlantic/Canary
FUJ,32.6664,128.8328,FUJ,JP,Airport,GOTO-FUKUE,9.0,Asia/Tokyo
FUK,33.5858,130.4506,FUK,JP,Airport,Fukuoka,9.0,Asia/Tokyo
FWA,40.9831,-85.1897,FWA,US,Airport,"Fort Wayne Municipal - Baer Field, IN",-4.0,America/Indiana/Indianapolis
FYV,36.0,-94.1667,FYV,US,Airport,"Fayetteville, Arkansas - Drake Field Municipal",-5.0,America/Chicago
GAU,26.1061,91.5858,GAU,IN,Airport,Guwahati,5.5,Asia/Kolkata
GAY,24.7444,84.9511,GAY,IN,Airport,Gaya,5.5,Asia/Kolkata
GBE,-24.5553,25.9183,GBE,BW,Airport,Gaborone - Sir Seretse Khama International,2.0,Africa/Gaborone
GCC,44.3475,-105.5417,GCC,US,Airport,Gillette,-6.0,America/Denver
GCI,49.4347,-2.6019,GCI,GB,Airport,Guernsey,1.0,Europe/London
GCK,37.9275,-100.7244,GCK,US,Airport,Garden City Municipal,-5.0,America/Chicago
GCM,19.2928,-81.3578,GCM,KY,Airport,GRAND CAYMAN OWEN ROBERTS INTL,-5.0,America/Cayman
GDE,5.935,43.5786,GDE,ET,Airport,Gode,3.0,Africa/Addis_Ababa
GDL,20.5217,-103.3111,GDL,MX,Airport,Guadalajara,-5.0,America/Mexico_City
GDN,54.3775,18.4661,GDN,PL,Airport,Gdansk,2.0,Europe/Warsaw
GDQ,12.52,37.4342,GDQ,ET,Airport,Gonder,3.0,Africa/Addis_Ababa
GEG,47.6172,-117.54,GEG,US,Airport,"Spokane International, WA",-7.0,America/Los_Angeles
GEO,6.4986,-58.2542,GEO,GY,Airport,GEORGETOWN CHEDDI JAGAN INTERNATIONAL,-4.0,America/Guyana
GIG,-22.8125,-43.2483,RIO,BR,Airport,Rio de Janeiro - International,-3.0,America/Sao_Paulo
GIS,-38.6639,177.9769,GIS,NZ,Airport,GISBORNE,12.0,Pacific/Auckland
GJT,39.1233,-108.5258,GJT,US,Airport,"Grand Junction, CO",-6.0,America/Denver
GLA,55.8719,-4.4333,GLA,GB,Airport,Glasgow,1.0,Europe/London
GMB,8.1289,34.5631,GMB,ET,Airport,Gambela,3.0,Africa/Addis_Ababa
GMP,37.5583,126.7906,SEL,KR,Airport,Seoul - Gimpo International,9.0,Asia/Seoul
GND,12.0042,-61.7861,GND,GD,Airport,GRENADA MAURICE BISHOP INTL,-4.0,America/Grenada
GNV,29.69,-82.2717,GNV,US,Airport,"Gainesville, Florida - Allison Municipal",-4.0,America/New_York
