,CityCode,Name,CountryCode,AirportCode,LocationType,Longitude,Latitude
179,BRW,Barrow Wbas,US,BRW,Airport,-156.7661,71.2856
180,BSB,Brasilia International,BR,BSB,Airport,-47.91527778,-15.86055556
181,BSL,Basel Euroairport,CH,BSL,Airport,7.5217,47.6011
182,BTR,Baton Rouge - Ryan,US,BTR,Airport,-91.1497,30.5331
183,BTU,Bintulu,MY,BTU,Airport,113.0197,3.1242
184,BTV,"Burlington, International, VT",US,BTV,Airport,-73.1533,44.4719
185,BUD,"Budapest, Liszt Ferenc",HU,BUD,Airport,19.2556,47.4369
186,BUF,"Buffalo,  Greater Buffalo International, NY",US,BUF,Airport,-78.7322,42.9406
187,BUQ,Bulawayo,ZW,BUQ,Airport,28.6178,-20.0175
188,BUR,Burbank,US,BUR,Airport,-118.3586,34.2006
189,BUS,BATUMI,GE,BUS,Airport,41.5997,41.6103
190,BVC,BOA VISTA ISLAND RABIL,CV,BVC,Airport,-22.8889,16.1367
191,BWI,"Baltimore - Washington International, DC",US,BWI,Airport,-76.6683,39.1753
192,BWK,BRAC,HR,BWK,Airport,16.6797,43.2858
193,BWN,Bandar Seri Begawan - Brunei International,BN,BWN,Airport,114.9283,4.9442
194,BZE,Belize City - Goldson International,BZ,BZE,Airport,-88.3083,17.5392
195,BZG,Bydgoszcz,PL,BZG,Airport,17.9778,53.0967
196,BZN,Bozeman,US,BZN,Airport,-111.1531,45.7775
197,BZV,Brazzaville,CG,BZV,Airport,15.2531,-4.2517
198,CAE,"Columbia, SC",US,CAE,Airport,-81.1194,33.9389
199,CAG,Cagliari,IT,CAG,Airport,9.0578,39.2514
200,CAI,Cairo International,EG,CAI,Airport,31.4056,30.1219
201,CAK,Akron/Canton,US,CAK,Airport,-81.4422,40.9161
202,CAN,Guangzhou Baiyun International,CN,CAN,Airport,113.2989,23.3925
203,CBR,Canberra,AU,CBR,Airport,149.195,-35.3069
204,CCJ,Kozhikode,IN,CCJ,Airport,75.9553,11.1369
205,CCP,Concepcion,CL,CCP,Airport,-73.0631,-36.7728
206,CCS,Caracas,VE,CCS,Airport,-66.9906,10.6031
207,CCU,Kolkata,IN,CCU,Airport,88.4467,22.6547
208,PAR,Paris - Charles De Gaulle,FR,CDG,Airport,2.5478,49.0097
209,CDR,Chadron,US,CDR,Airport,-103.0986,42.835
210,CDV,Cordova - Mile 13 Field,US,CDV,Airport,-145.4775,60.4917
211,CEB,Cebu,PH,CEB,Airport,123.9794,10.3075
212,CEC,Crescent City,US,CEC,Airport,-124.2367,41.7803
213,CEI,Chiang Rai,TH,CEI,Airport,99.8831,19.9522
214,CEZ,Cortez,US,CEZ,Airport,-108.6286,37.3031
215,CFU,Kerkyra,GR,CFU,Airport,19.9117,39.6019
216,CGB,Cuiaba,BR,CGB,Airport,-56.1167,-15.6531
217,SAO,Sao Paulo - Congonhas,BR,CGH,Airport,-46.6581,-23.6267
218,JKT,Jakarta - Soekarno-Hatta International,ID,CGK,Airport,106.6558,-6.1256
219,CGN,Cologne - Cologne/Bonn Airport,DE,CGN,Airport,7.1428,50.8658
220,CGO,Zhengzhou,CN,CGO,Airport,113.8411,34.5194
221,CGQ,Changchun,CN,CGQ,Airport,125.6853,43.9961
222,CGR,Campo Grande International,BR,CGR,Airport,-54.6725,-20.4686
223,CHA,Chattanooga,US,CHA,Airport,-85.2039,35.0353
224,CHC,Christchurch International,NZ,CHC,Airport,172.5322,-43.4894
225,CHG,CHAOYANG,CN,CHG,Airport,120.4339,41.5414
226,CHO,Charlottesville Albemarie,US,CHO,Airport,-78.4528,38.1386
227,CHQ,Chania,GR,CHQ,Airport,24.1497,35.5317
228,CHS,"Charleston, SC",US,CHS,Airport,-80.0406,32.8986
229,CIC,Chico,US,CIC,Airport,-121.8583,39.7961
230,CID,"Cedar Rapids, IA",US,CID,Airport,-91.7108,41.8847
231,AKX,Shymkent,KZ,CIT,Airport,69.4789,42.3642
232,CJB,Coimbatore,IN,CJB,Airport,77.0433,11.03
233,CJC,Calama,CL,CJC,Airport,-68.9081,-22.4981
234,CJU,Jeju,KR,CJU,Airport,126.4931,33.5114
235,CKB,Clarksburg,US,CKB,Airport,-80.2281,39.2967
236,CKG,Chongqing,CN,CKG,Airport,106.6419,29.7194
237,CKY,Conakry,GN,CKY,Airport,-13.6119,9.5769
238,CLD,"Carlsbad, CA",US,CLD,Airport,-117.28,33.1283
239,CLE,"Cleveland - Hopkins International, OH",US,CLE,Airport,-81.8497,41.4117
240,CLJ,Cluj,RO,CLJ,Airport,23.6861,46.7853
241,CLL,College Station - Easterwood Field,US,CLL,Airport,-96.3639,30.5886
242,CLO,Cali,CO,CLO,Airport,-76.3817,3.5433
243,CLT,"Charlotte, NC",US,CLT,Airport,-80.9431,35.2139
244,CLY,Calvi,FR,CLY,Airport,8.7931,42.5203
245,CMB,Colombo - Katunayake,LK,CMB,Airport,79.8853,7.1803
246,CME,Ciudad Del Carmen,MX,CME,Airport,-91.8011,18.6533
247,CMH,"Columbus, OH",US,CMH,Airport,-82.8919,39.9981
248,CMI,Champaign Urbana,US,CMI,Airport,-88.2781,40.0392
249,CAS,Casablanca - Mohamed V,MA,CMN,Airport,-7.59,33.3675
250,CMX,Hancock,US,CMX,Airport,-88.4892,47.1683
251,CND,Constanta,RO,CND,Airport,28.4883,44.3622
252,BHZ,Belo Horizonte - Tancredo Neves International,BR,CNF,Airport,-43.9689,-19.6339
253,CNS,Cairns,AU,CNS,Airport,145.7489,-16.8781
254,CNX,Chiang Mai,TH,CNX,Airport,98.9628,18.7714
255,CNY,Moab,US,CNY,Airport,-109.7475,38.7608
256,COD,Cody,US,COD,Airport,-109.0261,44.5178
257,COK,Kochi,IN,COK,Airport,76.4019,10.1519
258,COO,Cotonou,BJ,COO,Airport,2.3844,6.3572
259,COR,Cordoba,AR,COR,Airport,-64.2083,-31.31
260,COS,"Colorado Springs - Peterson Field, CO",US,COS,Airport,-104.7008,38.8058
261,COU,COLUMBIA REGIONAL,US,COU,Airport,-92.2197,38.8181
262,CPH,Copenhagen,DK,CPH,Airport,12.6503,55.6203
263,CPO,Copiapo,CL,CPO,Airport,-70.7792,-27.2617
264,CPR,Casper,US,CPR,Airport,-106.4644,42.9081
265,CPT,Cape Town,ZA,CPT,Airport,18.6017,-33.9647
266,CRD,Comodoro Rivadavia,AR,CRD,Airport,-67.4656,-45.7853
267,CRK,ANGELES/MABALACAT CLARK INTERNATIONAL,PH,CRK,Airport,120.5603,15.1861
268,CRP,Corpus Christi - International,US,CRP,Airport,-97.5011,27.7703
269,CRW,"Charleston, West Virginia - Yeager",US,CRW,Airport,-81.5931,38.3731
270,CSL,San Luis Obispo,US,CSL,Airport,-120.6333,35.2333
271,CSX,Changsha,CN,CSX,Airport,113.2178,28.1936
272,CTA,Catania,IT,CTA,Airport,15.0639,37.4667
273,CTG,Cartagena,CO,CTG,Airport,-75.5131,10.4425
274,SPK,Sapporo - Chitose,JP,CTS,Airport,141.6691667,42.79583333
275,CTU,Chengdu,CN,CTU,Airport,103.9472222,30.57861111
276,CUC,Cucuta,CO,CUC,Airport,-72.5117,7.9275
277,CUL,Culiacan,MX,CUL,Airport,-107.4747,24.7644
278,CUM,Cumana,VE,CUM,Airport,-64.1306,10.4503
279,CUN,Cancun,MX,CUN,Airport,-86.8772,21.0367
